翡翠直播,#genre#
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct$官频
翡翠台,https://mytv.btjson.us.kg/stream/tvb/null/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc$histar-1
翡翠台,http://php.jdshipin.com:8880/xsj.php?id=feicui$histar-2
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct3
翡翠台,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct4
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct4
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠台,http://cdn.1689.us.kg/smt1.php?id=jade_twn$备用1
翡翠台,https://lzoq.serv00.net/daili/Smartv.php?id=jade_twn$备用2
翡翠台,http://xyt.186738613.xyz/Smartv.php?id=jade_twn$备用3
翡翠台,https://bsex.serv00.net/Smart.php?id=jade_twn$备用4
翡翠台,http://samuelwongvv.serv00.net/Smartv.php?id=jade_twn$备用5
翡翠台,http://php.jdshipin.com:8880/ub.php?id=fct$测试
翡翠台,http://cdn10.jdshipin.com:8880/fct/$多音轨测试
翡翠台,http://123.150.5.131:9000/tvb翡翠/香蕉哥专用-易發TV.live.ts$低延时推流1
翡翠台,http://120.211.93.113:8089/tvb翡翠2/香蕉哥专用-易發TV.live.flv$低延时推流2
翡翠台,https://cloud.lxweb.cn/f/nRqYF6/studio_video_1714222795212.mp4$提示 

地波翡翠,http://8.137.59.151:3000/laoshu1.php?key=kdsm666&id=8$测试，下面才是地波
地波翡翠,http://nz171l122.bb60246.ctm.net:8889/bysid/1.m3u8
地波翡翠,http://beishan008.asuscomm.com:8889/bysid/1.m3u8
地波翡翠,http://grandprix2023.asuscomm.com:8889/bysid/1.m3u8
地波翡翠,http://extraott.com:80/live/7921751389/6097373662/62827.m3u8
明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt$超宽频主线
明珠台,https://mytv.btjson.us.kg/stream/tvb/null-2/master.m3u8?u=btjson&p=213f2541f159ac2ec56f4173f3731fdd6ac1ea725a0c7892870cf85ea22cb3cc
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
明珠台,http://xyt.186738613.xyz/Smartv.php?id=pearl_twn
明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt2
明珠台,http://php.jdshipin.com:8880/ub.php?id=mzt

重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://36.108.172.237:10097/stream/channelid/1129822714
重温经典,http://36.108.172.237:10005/stream/channelid/1658622386?ticket=cee7f3f6fd238a746e4e7a2b018ee411947ffe3d&profile=pass
重温经典,http://117.114.153.12:8180/TV00000000000000000007@HHZT

凤凰资讯,http://110.185.171.226:96/fhzb.php?type=1&id=0701pin72
凤凰中文,http://110.185.171.226:96/fhzb.php?type=1&id=0701pcc72
凤凰香港,http://110.185.171.226:96/fhzb.php?type=1&id=0701phk72
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
RTHK31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
RTHK32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
香港无线财经台,http://php.jdshipin.com:8880/smt.php?id=j5_twn
无线财经台,http://php.jdshipin.com:8880/smt.php?id=tvbcaijing_twn
娱乐新闻台,http://php.jdshipin.com:8880/smt.php?id=tvbxinhe_twn
TVB PLUS,http://php.jdshipin.com:8880/smt.php?id=j2_twn
ViuTV,http://php.jdshipin.com:8880/smt.php?id=9ae6d37d9a
VIUTV1,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
VIUTV6,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
